filename,ref_pc,pipeline_pc,n_condensates,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240525_JABr_4arm_40uMDFHBI_Sample1_1_1.tif,13.97880584853668,19.01823891567239,6,1189.0419778002017,62.52114,84.0,36.05052621618066
20240525_JABr_4arm_40uMDFHBI_Sample1_1_2.tif,9.754849353566142,19.21765589102426,16,1149.05900621118,59.79184,77.0,97.00617810154846
20240525_JABr_4arm_40uMDFHBI_Sample1_1_3.tif,23.95942298837571,78.44851558810355,3,4291.992029429798,54.71094000000001,80.0,227.4223908737872
20240525_JABr_4arm_40uMDFHBI_Sample1_1_4.tif,15.368630041050425,39.96983610669893,30,2033.936256597645,50.88678,97.0,160.07416405975928
20240525_JABr_4arm_40uMDFHBI_Sample1_2_1.tif,9.436312316978904,13.094304182488322,3,830.6322099805574,63.43462,92.0,38.76505718158073
20240525_JABr_4arm_40uMDFHBI_Sample1_2_2.tif,6.143441593129492,9.72429327326711,7,611.9828382838284,62.93340000000001,91.0,58.2873886868601
20240525_JABr_4arm_40uMDFHBI_Sample1_2_3.tif,2.6881524872483173,3.0304925649918095,7,188.7148936170213,62.272020000000005,85.0,12.735143536962179
20240525_JABr_4arm_40uMDFHBI_Sample1_2_4.tif,12.988078213856978,19.811126853025712,4,1212.2828706128864,61.19202,95.0,52.533165621756304
20240525_JABr_4arm_40uMDFHBI_Sample1_2_5.tif,13.025554481313527,19.481514644111588,5,1036.087341469251,53.183099999999996,95.0,49.56380300017006
20240525_JABr_4arm_40uMDFHBI_Sample1_3_1.tif,28.35924866773823,14.724354506920623,5,962.5678650036684,65.3725,79.0,-48.07917981384605
20240525_JABr_4arm_40uMDFHBI_Sample1_3_2.tif,20.144849891967915,27.914213420473843,7,1444.2540464461647,51.739020000000004,93.0,38.56749278436521
20240525_JABr_4arm_40uMDFHBI_Sample1_3_3.tif,16.059556467706404,28.3477160606826,16,2317.0056748087836,81.73518000000001,82.0,76.51618285776462
20240525_JABr_4arm_40uMDFHBI_Sample1_3_4.tif,11.037845133235484,15.357373889008485,11,766.7279487179487,49.92572,96.0,39.13380468409266
20240525_JABr_4arm_40uMDFHBI_Sample1_3_5.tif,8.479950265759351,12.685392542637057,26,698.9039855072464,55.09518,93.0,49.59277053615034
20240525_JABr_4arm_40uMDFHBI_Sample1_3_6.tif,29.79007162698103,47.781346573776304,18,2643.193376068376,55.31852,95.0,60.39352698467658
20240525_JABr_4arm_40uMDFHBI_Sample2_1_1.tif,17.597102704429496,26.68787623674149,10,1604.2306584065695,60.11083999999999,81.0,51.6606266668188
20240525_JABr_4arm_40uMDFHBI_Sample2_1_2.tif,25.5438146325362,91.21660382772941,3,5884.080273802116,64.50667999999999,87.0,257.09859760547704
20240525_JABr_4arm_40uMDFHBI_Sample2_1_3.tif,12.993079086486617,31.11185438049461,4,1702.5153401511784,54.72240000000001,87.0,139.44943437504608
20240525_JABr_4arm_40uMDFHBI_Sample2_3_1.tif,31.465470008669563,68.51256736264955,3,3638.0378807269003,53.100300000000004,86.0,117.7388970950459
20240525_JABr_4arm_40uMDFHBI_Sample2_3_2.tif,9.030859842232376,16.252622496107715,4,1120.142119267491,68.9207,86.0,79.9676086224162
