label,area,centroid-0,centroid-1,mean_intensity,z
1,66.0,122.68181818181819,27.772727272727273,201.13636363636363,1
2,357.0,133.703081232493,32.50420168067227,198.187675070028,1
3,2.0,121.0,45.5,209.5,1
1,177.0,120.50847457627118,29.98870056497175,245.52542372881356,2
2,426.0,132.0962441314554,34.948356807511736,213.23474178403757,2
3,11.0,120.54545454545455,44.72727272727273,254.27272727272728,2
1,123.0,123.1951219512195,29.84552845528455,273.6585365853659,3
2,300.0,133.84333333333333,34.75,239.45666666666668,3
3,5.0,122.8,41.0,301.8,3
1,199.0,125.07035175879398,31.85929648241206,340.2361809045226,4
2,234.0,133.35470085470087,35.38461538461539,322.6752136752137,4
3,8.0,120.75,41.25,391.875,4
1,318.0,128.1761006289308,33.29874213836478,406.5345911949685,5
2,13.0,131.46153846153845,37.61538461538461,512.3846153846154,5
1,481.0,129.55093555093555,34.83575883575884,547.8440748440748,6
1,366.0,129.62295081967213,34.69945355191257,744.068306010929,7
1,262.0,128.99236641221373,35.48091603053435,1037.2480916030534,8
1,253.0,129.50592885375494,36.14624505928854,1195.5849802371542,9
1,273.0,130.02930402930403,35.21978021978022,1242.3882783882784,10
1,241.0,130.05809128630705,34.97925311203319,1162.0290456431535,11
1,180.0,129.92222222222222,35.5,1010.9333333333333,12
1,98.0,130.29591836734693,35.183673469387756,830.734693877551,13
1,96.0,131.42708333333334,35.34375,592.7291666666666,14
4,47.0,87.7872340425532,75.74468085106383,1061.723404255319,14
5,9.0,85.0,89.77777777777777,1137.4444444444443,14
1,105.0,131.2,35.10476190476191,433.5904761904762,15
4,55.0,88.21818181818182,76.14545454545454,815.1272727272727,15
5,34.0,84.76470588235294,90.17647058823529,958.0588235294117,15
6,37.0,59.45945945945946,68.54054054054055,941.0,15
7,83.0,81.50602409638554,125.72289156626506,385.1686746987952,15
1,11.0,120.81818181818181,35.72727272727273,357.6363636363636,16
4,23.0,88.43478260869566,76.43478260869566,653.7391304347826,16
5,21.0,85.33333333333333,90.38095238095238,891.2380952380952,16
6,123.0,60.447154471544714,68.9430894308943,977.349593495935,16
7,182.0,82.1043956043956,125.28571428571429,519.4945054945055,16
8,200.0,130.185,36.155,333.46,16
4,1.0,88.0,78.0,541.0,17
6,145.0,60.73103448275862,69.15862068965517,922.3379310344827,17
7,216.0,82.06481481481481,124.86111111111111,686.0879629629629,17
8,127.0,126.32283464566929,36.267716535433074,291.38582677165357,17
6,111.0,60.83783783783784,68.63063063063063,876.1531531531532,18
7,238.0,82.63865546218487,124.90756302521008,804.8361344537815,18
6,86.0,61.33720930232558,68.12790697674419,645.7441860465116,19
7,234.0,82.56837606837607,125.22222222222223,817.0042735042736,19
6,16.0,60.5625,67.625,491.9375,20
7,227.0,83.27312775330397,125.22466960352423,744.6211453744494,20
7,218.0,83.61467889908256,125.35321100917432,586.6100917431193,21
7,274.0,83.93065693430657,127.07299270072993,385.62773722627736,22
9,10.0,64.3,65.8,280.3,22
10,25.0,83.6,108.12,200.76,22
7,307.0,83.75895765472313,127.95765472312704,290.01628664495115,23
9,18.0,63.44444444444444,67.0,242.16666666666666,23
10,32.0,84.75,108.25,202.34375,23
7,284.0,83.86619718309859,127.9330985915493,246.40140845070422,24
10,21.0,84.85714285714286,108.42857142857143,191.47619047619048,24
7,293.0,84.18430034129693,128.26962457337885,225.53242320819112,25
10,12.0,84.91666666666667,109.83333333333333,196.33333333333334,25
7,230.0,84.0,127.95652173913044,202.97391304347826,26
