label,area,centroid-0,centroid-1,mean_intensity,z
1,398.0,70.78391959798995,90.08793969849246,277.2638190954774,0
1,515.0,70.89708737864078,84.01747572815535,316.3902912621359,1
1,1688.0,76.7245260663507,90.96090047393365,355.65995260663504,2
1,3458.0,80.66888374783112,94.01359167148641,409.1203007518797,3
1,5984.0,79.5658422459893,106.70972593582887,440.2735628342246,4
2,23.0,64.78260869565217,2.0434782608695654,266.4347826086956,4
3,51.0,133.98039215686273,173.45098039215685,394.96078431372547,4
1,7299.0,78.709275243184,107.91341279627346,475.24167694204687,5
2,77.0,65.85714285714286,3.1818181818181817,315.4415584415584,5
3,412.0,142.24271844660194,169.7378640776699,430.08009708737865,5
1,8628.0,78.56525266573945,108.48887343532684,495.15380157626333,6
2,144.0,67.125,3.923611111111111,383.36805555555554,6
3,509.0,142.8271119842829,168.8310412573674,502.8212180746562,6
1,9328.0,77.68557032590051,108.8178602058319,511.85366638078904,7
2,193.0,73.54922279792746,4.067357512953368,445.8497409326425,7
3,590.0,142.56101694915253,167.94745762711864,548.3084745762712,7
1,9899.0,77.54601474896454,108.69471663804424,523.3419537327003,8
2,244.0,77.96311475409836,4.401639344262295,509.4918032786885,8
3,670.0,142.23134328358208,167.07611940298509,578.8268656716418,8
1,10435.0,77.51806420699569,108.9546717776713,532.8297077144226,9
2,310.0,81.13225806451612,4.819354838709677,555.3677419354839,9
3,829.0,141.52714113389627,165.39927623642944,578.7756332931242,9
1,10942.0,77.12209833668433,109.4138183147505,539.4086090294279,10
2,397.0,83.14357682619648,5.299748110831234,580.4937027707808,10
3,944.0,141.16949152542372,164.23199152542372,581.104872881356,10
4,135.0,157.34074074074073,93.74074074074075,368.0962962962963,10
1,11200.0,77.15946428571428,109.57116071428571,548.2526785714285,11
2,588.0,86.17517006802721,6.4438775510204085,546.4591836734694,11
3,1056.0,140.5435606060606,163.2244318181818,581.9924242424242,11
4,272.0,156.1764705882353,95.62132352941177,388.9742647058824,11
1,11377.0,77.07436055199086,109.78772962995517,554.8958424892327,12
2,860.0,89.08023255813953,7.272093023255814,544.9337209302325,12
3,1137.0,139.90061565523308,162.60158311345646,587.1029023746702,12
4,494.0,154.7085020242915,97.85627530364373,401.5910931174089,12
1,11318.0,77.21443717971373,110.30402898038523,560.4613005831419,13
2,847.0,91.65761511216057,7.68595041322314,573.8240850059032,13
3,1188.0,139.31313131313132,162.33670033670035,591.8324915824916,13
4,600.0,153.96833333333333,97.71,418.62166666666667,13
1,11356.0,77.32502641775272,110.58893976752378,561.9197780908771,14
