construct,n,r_raw,rmse_raw,err%_raw,in20%_raw,best_strategy,r_best,rmse_best,err%_best,in20%_best
JABr,29,0.8702968798819407,7.137784783358336,42.1752647089187,41.37931034482759,"mix(0.7t,0.3c) + isotonic",0.8995706353718156,1.6933176758775554,15.612103569095607,68.96551724137932
GABr,29,0.5806728500914408,5.876807590051803,68.64137329222235,34.48275862068966,trained + isotonic,0.5485850887815404,3.468800053708578,59.19045261984678,34.48275862068966
AABr,25,0.1479211584479304,19.275453286754644,135.91546938678903,36.0,trained + isotonic,0.45426838237941963,6.872360992124961,56.98146474605026,44.0
JABr_4arm,37,0.8072627169319196,17.38835828211844,39.64443413295939,45.94594594594595,trained + isotonic,0.793663940257255,7.794273332704427,30.511393738759047,48.64864864864865
Tornado,18,0.17340083942459603,6.722996680511807,159.15695188769354,22.22222222222222,"mix(0.3t,0.7c) + isotonic",0.007885342852584252,0.8378585255608996,24.007522569581326,44.44444444444444
