filename,ref_pc,pipeline_pc,ref_cond_density,ref_dilute_density,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240516_AABr_10uMDFHBI_20-40_Sample1_1_1.tif,19.179889728138637,25.243823575495448,1761.5361798350625,91.84287317620652,1443.9426695065672,57.19983999999999,89.0,31.616103811381514
20240516_AABr_10uMDFHBI_20-40_Sample1_1_2.tif,19.750515875909347,20.771181224100214,1771.2801287948482,89.68272727272728,1194.842675006014,57.52405999999999,91.0,5.16779082938194
20240516_AABr_10uMDFHBI_20-40_Sample1_1_3.tif,13.835637415121129,17.643819108437963,1253.282348470454,90.58363636363636,1140.9830837004406,64.66758,83.0,27.524439814784596
20240516_AABr_10uMDFHBI_20-40_Sample1_2_1.tif,8.089786069106342,9.724634879850518,633.6148584293012,78.32282003710576,771.1141448269565,79.29492,87.0,20.20880152798371
20240516_AABr_10uMDFHBI_20-40_Sample1_2_2.tif,9.53755514437928,63.44457177898153,674.9901185770751,70.77181818181818,3917.583031557165,61.74812,87.0,565.2079156404251
20240516_AABr_10uMDFHBI_20-40_Sample1_3_1.tif,11.386354487903962,16.61598863605256,1233.4903688218606,108.3305785123967,995.305362654321,59.90046,83.0,45.92895956035958
20240516_AABr_10uMDFHBI_20-40_Sample1_3_2_dont count the float cell.tif,16.959551110351807,68.68767817962446,3513.4793679841105,207.1681818181818,3594.953720508167,52.33768,93.0,305.00882206545384
20240516_AABr_10uMDFHBI_20-40_Sample1_3_3.tif,8.932186528408346,8.741922060931097,694.7058823529412,77.77556818181819,429.5397604555272,49.135619999999996,91.0,-2.1300995772101583
20240516_AABr_10uMDFHBI_20-40_Sample1_3_4.tif,13.718215449722445,16.527621103164773,1232.4070626882014,89.83727272727273,990.5337185072931,59.932019999999994,83.0,20.479381328707515
20240516_AABr_10uMDFHBI_20-40_Sample2_4_1.tif,38.00362300138569,17.732344730022685,2585.637910896045,68.03661616161617,2649.4492067909823,149.41336,84.0,-53.34038354875763
20240516_AABr_10uMDFHBI_20-40_Sample2_4_2.tif,19.184164899062285,28.023211409997476,2051.711555654895,106.94818181818182,1632.383450629132,58.25112,85.0,46.07470044926084
20240516_AABr_10uMDFHBI_20-40_Sample2_4_3.tif,12.947279781368938,35.37893291091931,1889.8438081603435,145.96454545454546,1946.016082029142,55.00494,86.0,173.25379159435016
20240516_AABr_10uMDFHBI_20-40_Sample2_5_1.tif,14.158574147073711,27.99424957809888,1435.6858010410642,101.40045078888056,1502.5885466794996,53.6749,86.0,97.71941219013726
20240516_AABr_10uMDFHBI_20-40_Sample2_5_2.tif,12.167217568993118,15.231296932576202,951.81930820857,78.22818181818182,681.2136627906976,44.7246,94.0,25.18307366666615
20240516_AABr_10uMDFHBI_20-40_Sample2_5_3.tif,9.633587244492976,10.625863923539551,729.6478978978979,75.74,545.5248407643312,51.339340000000014,91.0,10.300178467930616
20240516_AABr_10uMDFHBI_20-40_Sample2_5_4.tif,3.0164057866288525,2.819387195920894,168.01380231522708,55.7,142.86494658335013,50.67233999999999,85.0,-6.531567854076664
20240516_AABr_10uMDFHBI_20-40_Sample2_5_5.tif,20.550013697439155,21.567446031292416,1563.1274509803925,76.06454545454545,1280.3169257340242,59.3634,94.0,4.951005623806705
20240516_AABr_10uMDFHBI_20-40_Sample2_5_6_dont count the float cell.tif,2.752259705312733,11.067984334324148,188.14447345517843,68.36,660.212570412096,59.650659999999995,83.0,302.14171333320877
20240516_AABr_10uMDFHBI_20-40_Sample3_3_1.tif,3.0851402231093794,45.19651042446182,191.73305084745763,62.14727272727273,2505.4830182633773,55.43532000000001,87.0,1364.9742687841338
20240516_AABr_10uMDFHBI_20-40_Sample3_3_2.tif,9.127342467590823,10.281682341050262,706.8117774566474,77.4389456697149,565.9819368371984,55.0476,96.0,12.647053373511996
20240516_AABr_10uMDFHBI_20-40_Sample3_3_3.tif,5.98628200593908,4.789648478869789,431.1407978545089,72.02146464646465,261.0602693056457,54.50509999999999,87.0,-19.989594975346858
20240516_AABr_10uMDFHBI_20-40_Sample3_3_4.tif,23.882205110137967,30.05033574328287,1518.0615122781426,63.56454545454545,1703.6797446968276,56.6942,92.0,25.82730784154658
20240516_AABr_10uMDFHBI_20-40_Sample3_4_1.tif,11.023212177489178,34.05644143238094,1657.0170487106018,150.32070707070707,1703.2069094072326,50.01129999999999,96.0,208.95206301053148
20240516_AABr_10uMDFHBI_20-40_Sample3_4_2.tif,12.195762888966632,13.610868210702641,990.1961630695444,81.19181818181818,799.0788284779561,58.70888,80.0,11.603253807240208
20240516_AABr_10uMDFHBI_20-40_Sample3_4_3.tif,21.231294189214637,23.59328670666462,1699.8546174946662,80.06363636363636,1294.0922477262884,54.850019999999994,92.0,11.125051993532553
