filename,ref_pc,pipeline_pc,n_condensates,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240525_GABr_40uMDFHBI_Sample1_1_1.tif,11.587330536582192,39.47669753177316,19,2015.0059139784946,51.042919999999995,91.0,240.68845630269936
20240525_GABr_40uMDFHBI_Sample1_1_2.tif,11.388888685995434,14.48906076542903,16,876.363306085377,60.484480000000005,87.0,27.221023621433606
20240525_GABr_40uMDFHBI_Sample1_1_3.tif,2.1821993459219646,2.29601226755775,29,128.94358974358974,56.159800000000004,91.0,5.215514423486369
20240525_GABr_40uMDFHBI_Sample1_1_4.tif,2.031489389205442,2.139098049367651,15,135.9051987767584,63.533879999999996,88.0,5.297032843686022
20240525_GABr_40uMDFHBI_Sample1_2_1.tif,9.744385178483489,7.008825244525495,5,707.6638655462185,100.96754318406866,83.0,-28.073191728898045
20240525_GABr_40uMDFHBI_Sample1_2_2.tif,6.217123768364016,6.706549733669733,10,341.2309941520468,50.88026,91.0,7.872224899175608
20240525_GABr_40uMDFHBI_Sample1_3_1.tif,1.4420320942341462,1.9084160274698738,18,114.6020618556701,60.05088,74.0,32.34213268210379
20240525_GABr_40uMDFHBI_Sample1_4_1.tif,12.224110928239892,17.7268769143939,8,986.8531105990784,55.66987999999999,88.0,45.01567450146112
20240525_GABr_40uMDFHBI_Sample1_4_2.tif,4.878864610167269,10.050011572061816,10,561.8692129629629,55.90731999999999,82.0,105.9907862808527
20240525_GABr_40uMDFHBI_Sample1_4_3.tif,9.603545538169184,7.290441983294247,19,579.4440372145475,79.47996,84.0,-24.08593311378108
20240525_GABr_40uMDFHBI_Sample1_4_4.tif,5.313640882505212,7.664619353130833,15,452.87614457831324,59.086580000000005,84.0,44.24421075135227
20240525_GABr_40uMDFHBI_Sample2_1_1.tif,8.133326637477246,11.72730467879828,25,789.651493256262,67.33444,80.0,44.18829098490252
20240525_GABr_40uMDFHBI_Sample2_2_1.tif,4.830341333913031,4.924710846180803,14,334.0292490118577,67.82718000000001,84.0,1.953682063940676
20240525_GABr_40uMDFHBI_Sample2_2_2.tif,17.34916064537548,43.23838508674237,18,2450.95229282336,56.68464,89.0,149.2246510972726
20240525_GABr_40uMDFHBI_Sample2_3_1.tif,7.193756838182647,9.432877673335192,16,557.7273820258491,59.125899999999994,88.0,31.12588992816459
20240525_GABr_40uMDFHBI_Sample2_3_2.tif,7.76869057228657,5.81668911593615,19,416.5486963190184,71.61268,75.0,-25.12651827469921
20240525_GABr_40uMDFHBI_Sample2_4_2.tif,15.090340349418334,,0,,62.7286,82.0,
20240525_GABr_40uMDFHBI_Sample2_4_3.tif,5.132114130191898,2.232962174313762,8,140.37512242899118,62.86498,82.0,-56.49040302557986
20240525_GABr_40uMDFHBI_Sample2_4_4.tif,9.173102204883763,1.3647327248144283,6,231.05581395348838,169.3048094709582,85.0,-85.1224515509285
20240525_GABr_40uMDFHBI_Sample2_5_1.tif,9.282032685722552,8.80694192314746,18,705.3971213608113,80.09558,82.0,-5.118391398318027
20240525_GABr_40uMDFHBI_Sample2_5_2.tif,2.1273426647668843,1.917963601227413,12,109.57,57.12829999999999,84.0,-9.84228197023516
20240525_GABr_40uMDFHBI_Sample2_5_3.tif,1.660851070013628,9.483613526936956,2,540.2342342342342,56.96502,80.0,471.0092673667085
20240525_GABr_40uMDFHBI_Sample3_1_1.tif,1.727182330821384,29.38049454121531,6,2027.7870855148342,69.01814,78.0,1601.0650246313621
20240525_GABr_40uMDFHBI_Sample3_2_1.tif,5.300935963293593,10.416363220573595,17,1117.4553633217993,107.27883999999999,76.0,96.50045374443025
20240525_GABr_40uMDFHBI_Sample3_2_2.tif,5.316241248779725,3.1914782775108255,6,189.15974729241879,59.27026,81.0,-39.96739184393883
20240525_GABr_40uMDFHBI_Sample3_3_1.tif,13.49053528824492,14.720745900174931,14,1018.2127960410039,69.16856000000001,90.0,9.119064482207488
20240525_GABr_40uMDFHBI_Sample3_3_2.tif,9.919311082349576,12.496028615141528,11,1186.2602425434284,94.93098000000002,89.0,25.97677914726319
20240525_GABr_40uMDFHBI_Sample3_3_3.tif,10.142129023428728,14.755796726768725,30,818.0356954457535,55.43826,83.0,45.490130254527806
20240525_GABr_40uMDFHBI_Sample3_3_4.tif,6.597634982999445,6.5998902632751895,37,484.93947688564475,73.4769,77.0,0.0341831623234092
20240525_GABr_40uMDFHBI_Sample3_3_5.tif,6.108627181912475,10.212986959504239,22,548.6447233606557,53.720300000000016,83.0,67.18956085165408
