filename,ref_pc,pipeline_pc,n_condensates,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_1_1.tif,3.552163284549726,1.2357651821233313,7,411.54475308641975,333.02828,95.0,-65.21091281196615
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_2_1.tif,2.874010803531902,13.14589005268002,19,730.5391953227171,55.57167999999999,88.0,357.40572848664647
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_3_1.tif,2.0802368433697183,2.086302986227301,56,605.783191139051,290.36204,94.0,0.29160827897636893
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_1.tif,3.2593886063111634,6.291328336467165,26,416.8982695332984,66.26554,76.0,93.02173187588765
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_2.tif,2.5846283331463624,8.350561360369678,46,453.72841956059534,54.335080000000005,87.0,223.08557688076704
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_3.tif,2.7033406169817304,4.546689132852333,27,304.54542215888847,66.9818,80.0,68.18780083764267
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_1_1.tif,3.100448110181104,4.5554868972674765,105,267.2824427480916,58.672639999999994,84.0,46.929951264411926
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_1_2.tif,1.938592381042116,1.511200090477835,942,118.73801350902447,78.572,87.0,-22.046526889501674
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_2.tif,2.206206036484607,11.17469460467423,27,576.1942965779467,51.56242000000001,89.0,406.51183161841544
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_3.tif,4.686320330033836,11.18623545743817,20,548.5479296653432,49.03776,96.0,138.69976163915803
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_4.tif,2.4096547521721927,2.165630999985579,36,333.9451078985963,154.20222,91.0,-10.126917641070266
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_1.tif,2.729504713767909,15.596753005362633,24,1048.10429744085,67.20016000000001,84.0,471.4133017133463
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_2.tif,2.339511959968276,1.5807896983325125,101,242.9283627439523,153.67532,85.0,-32.43079217453763
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_3.tif,2.120803616758939,2.8189634579155496,224,149.3845975948196,52.99273999999998,84.0,32.91958933112131
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_4.tif,4.345316418682592,3.0099540280041723,30,616.3555102040816,204.7724,80.0,-30.731073689756137
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_1.tif,2.337961754108283,2.4230748094616144,64,500.769747031492,206.66706,84.0,3.64048108159897
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_2.tif,2.844100053460235,1.964458856764016,22,318.3163163163163,162.03766,71.0,-30.928630503909865
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_3.tif,3.55404049509177,6.545152631933073,36,384.3822838345865,58.72778,88.0,84.1608907093803
