label,area,centroid-0,centroid-1,mean_intensity,z
1,50.0,89.62,32.38,179.62,7
2,322.0,102.49068322981367,36.87267080745342,175.3136645962733,7
2,648.0,100.57098765432099,38.166666666666664,184.79783950617283,8
2,553.0,100.28571428571429,40.31464737793852,215.64556962025316,9
3,36.0,62.111111111111114,208.33333333333334,201.91666666666666,9
2,481.0,98.34719334719335,39.066528066528065,242.32848232848232,10
3,109.0,62.99082568807339,206.61467889908258,230.2018348623853,10
4,11.0,58.27272727272727,137.63636363636363,211.9090909090909,10
5,9.0,59.44444444444444,133.0,191.22222222222223,10
6,7.0,123.57142857142857,49.285714285714285,174.85714285714286,10
2,173.0,100.17341040462428,39.578034682080926,328.73988439306356,11
3,394.0,65.0228426395939,206.32741116751268,253.1979695431472,11
4,20.0,56.9,141.45,246.75,11
5,98.0,59.52040816326531,130.30612244897958,252.9591836734694,11
6,65.0,124.41538461538461,48.87692307692308,187.8153846153846,11
7,159.0,61.18867924528302,137.70440251572327,235.32704402515722,11
2,183.0,98.06557377049181,40.486338797814206,418.75956284153006,12
3,489.0,65.08179959100204,206.96523517382414,303.60940695296523,12
4,6.0,56.5,144.66666666666666,246.33333333333334,12
5,54.0,64.11111111111111,125.87037037037037,277.9074074074074,12
6,104.0,123.91346153846153,47.26923076923077,207.93269230769232,12
7,262.0,62.0763358778626,136.01526717557252,298.32442748091603,12
8,20.0,63.4,108.7,245.6,12
2,107.0,96.46728971962617,41.495327102803735,559.0934579439253,13
3,470.0,65.02765957446809,206.8127659574468,375.90425531914894,13
6,53.0,123.09433962264151,46.716981132075475,215.9245283018868,13
7,262.0,62.469465648854964,135.79770992366412,377.9618320610687,13
8,36.0,63.861111111111114,108.30555555555556,277.05555555555554,13
9,70.0,63.385714285714286,97.12857142857143,263.48571428571427,13
2,101.0,95.95049504950495,40.960396039603964,618.4059405940594,14
3,499.0,66.12825651302605,206.60320641282564,463.92184368737475,14
6,4.0,123.25,49.0,246.0,14
7,239.0,62.85774058577406,136.05857740585773,494.3765690376569,14
8,10.0,65.6,111.8,288.9,14
9,256.0,64.67578125,99.93359375,310.54296875,14
10,3.0,79.66666666666667,250.66666666666666,409.6666666666667,14
2,53.0,94.88679245283019,40.75471698113208,683.433962264151,15
3,469.0,66.70362473347548,206.39232409381663,576.3688699360341,15
7,192.0,62.536458333333336,136.72916666666666,643.0572916666666,15
9,364.0,67.10164835164835,99.17032967032966,355.7445054945055,15
10,80.0,82.55,253.1875,640.5625,15
2,60.0,94.96666666666667,41.03333333333333,573.5666666666667,16
3,367.0,67.29972752043597,206.7574931880109,736.6621253405995,16
7,186.0,62.61290322580645,136.33870967741936,732.763440860215,16
9,339.0,69.15929203539822,98.52802359882006,453.65486725663715,16
10,51.0,82.6470588235294,253.4313725490196,648.6862745098039,16
11,25.0,47.0,84.36,273.2,16
12,32.0,97.8125,109.4375,347.25,16
3,302.0,67.54635761589404,207.46357615894038,849.0794701986755,17
7,160.0,62.925,135.9375,777.375,17
9,277.0,68.98194945848375,98.70758122743682,578.3790613718412,17
10,41.0,85.2439024390244,250.8048780487805,598.5121951219512,17
11,54.0,48.0,84.61111111111111,305.9074074074074,17
12,23.0,98.3913043478261,110.21739130434783,503.69565217391306,17
3,312.0,66.75961538461539,207.76923076923077,809.25,18
7,176.0,62.47159090909091,136.1590909090909,672.1875,18
9,287.0,70.29268292682927,99.45644599303135,744.4947735191638,18
10,33.0,85.57575757575758,251.96969696969697,586.060606060606,18
12,63.0,99.28571428571429,111.0952380952381,687.8730158730159,18
13,130.0,51.15384615384615,84.81538461538462,379.95384615384614,18
14,19.0,87.57894736842105,247.6315789473684,480.3157894736842,18
3,258.0,67.10852713178295,207.56589147286823,773.6124031007752,19
7,172.0,62.51162790697674,136.0581395348837,562.9476744186046,19
9,238.0,71.5672268907563,99.4873949579832,952.1218487394958,19
12,40.0,100.0,111.825,916.75,19
13,108.0,53.43518518518518,84.78703703703704,547.074074074074,19
14,44.0,86.25,248.6590909090909,631.3181818181819,19
15,6.0,100.5,89.33333333333333,246.83333333333334,19
3,225.0,66.83111111111111,207.2888888888889,623.8533333333334,20
7,129.0,62.06976744186046,136.47286821705427,471.2170542635659,20
9,208.0,72.07211538461539,101.3798076923077,1073.4278846153845,20
12,90.0,99.61111111111111,112.2,825.2555555555556,20
13,90.0,54.5,85.03333333333333,827.9666666666667,20
14,10.0,86.1,248.4,587.1,20
15,88.0,102.19318181818181,92.13636363636364,319.0568181818182,20
3,247.0,66.43724696356276,207.6315789473684,466.2712550607287,21
7,106.0,61.83018867924528,136.0188679245283,393.25471698113205,21
9,197.0,71.98984771573605,101.80710659898477,1059.9340101522844,21
12,76.0,99.47368421052632,111.8157894736842,738.5657894736842,21
13,87.0,54.5632183908046,84.60919540229885,1050.4022988505747,21
14,10.0,86.3,246.7,431.2,21
15,137.0,103.64233576642336,92.08759124087591,410.5620437956204,21
16,46.0,52.30434782608695,199.43478260869566,239.45652173913044,21
17,6.0,60.166666666666664,178.16666666666666,276.1666666666667,21
18,27.0,89.55555555555556,175.5185185185185,466.81481481481484,21
3,206.0,66.47087378640776,207.18446601941747,384.3398058252427,22
7,58.0,62.3448275862069,136.44827586206895,338.3448275862069,22
9,207.0,71.77294685990339,101.66666666666667,852.4734299516908,22
12,47.0,99.40425531914893,111.29787234042553,606.6382978723404,22
13,124.0,54.483870967741936,84.09677419354838,1053.9435483870968,22
15,179.0,104.92178770949721,92.40223463687151,537.8938547486033,22
16,91.0,52.824175824175825,198.24175824175825,276.032967032967,22
17,28.0,59.892857142857146,178.0,282.2142857142857,22
18,95.0,89.14736842105263,174.57894736842104,615.0526315789474,22
3,173.0,65.89017341040463,207.2543352601156,330.53179190751445,23
9,178.0,71.58426966292134,101.53932584269663,721.8595505617977,23
13,133.0,54.330827067669176,83.86466165413533,1010.8872180451128,23
15,167.0,105.1377245508982,92.0059880239521,729.3592814371258,23
16,321.0,55.09345794392523,199.10903426791276,299.386292834891,23
18,66.0,89.66666666666667,174.77272727272728,842.2575757575758,23
19,1.0,52.0,212.0,215.0,23
20,1.0,53.0,212.0,217.0,23
3,17.0,69.0,208.05882352941177,290.29411764705884,24
