filename,ref_pc,pipeline_pc,n_condensates,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240516_AABr_10uMDFHBI_20-40_Sample1_1_1.tif,19.179889728138637,27.496575450421837,38,1572.7997163120567,57.19983999999999,89.0,43.36148872681926
20240516_AABr_10uMDFHBI_20-40_Sample1_1_2.tif,19.750515875909347,30.213832508511867,9,1738.0223140495868,57.52405999999999,91.0,52.97743460648099
20240516_AABr_10uMDFHBI_20-40_Sample1_1_3.tif,13.835637415121129,20.653065155751353,9,1335.583743204763,64.66758,83.0,49.274403022295004
20240516_AABr_10uMDFHBI_20-40_Sample1_2_1.tif,8.089786069106342,3.7111264447130394,43,212.84275053304904,57.352599999999995,87.0,-54.12577770275947
20240516_AABr_10uMDFHBI_20-40_Sample1_2_2.tif,9.53755514437928,100.19333139550979,8,6186.749850209706,61.74812,87.0,950.5137834464447
20240516_AABr_10uMDFHBI_20-40_Sample1_3_1.tif,11.386354487903962,22.229112698228484,35,1331.5340760157274,59.90046,83.0,95.22589711960121
20240516_AABr_10uMDFHBI_20-40_Sample1_3_2_dont count the float cell.tif,16.959551110351807,85.7010565306259,12,4485.394472361809,52.33768,93.0,405.32620806405373
20240516_AABr_10uMDFHBI_20-40_Sample1_3_3.tif,8.932186528408346,11.906507586288635,18,585.0336322869955,49.135619999999996,91.0,33.29891341185742
20240516_AABr_10uMDFHBI_20-40_Sample1_3_4.tif,13.718215449722445,22.348796661650795,35,1339.4085285019885,59.932019999999994,83.0,62.91329395984205
20240516_AABr_10uMDFHBI_20-40_Sample2_4_1.tif,38.00362300138569,21.156164777698503,8,3161.0136641495865,149.41336,84.0,-44.331189747548265
20240516_AABr_10uMDFHBI_20-40_Sample2_4_2.tif,19.184164899062285,35.61480098641546,14,2074.6020460358054,58.25112,85.0,85.6468664328271
20240516_AABr_10uMDFHBI_20-40_Sample2_4_3.tif,12.947279781368938,36.454957105783166,18,2005.2027283061766,55.00494,86.0,181.56460446804928
20240516_AABr_10uMDFHBI_20-40_Sample2_5_1.tif,14.158574147073711,31.444849400052345,16,1687.7991470628697,53.6749,86.0,122.09050906832559
20240516_AABr_10uMDFHBI_20-40_Sample2_5_2.tif,12.167217568993118,20.28805538132555,5,907.3751617076326,44.7246,94.0,66.74359003020983
20240516_AABr_10uMDFHBI_20-40_Sample2_5_3.tif,9.633587244492976,14.037451563850773,8,720.6734985700667,51.339340000000014,91.0,45.7136496259507
20240516_AABr_10uMDFHBI_20-40_Sample2_5_4.tif,3.0164057866288525,3.261774732364013,23,165.28175824175824,50.67233999999999,85.0,8.134480673085626
20240516_AABr_10uMDFHBI_20-40_Sample2_5_5.tif,20.550013697439155,22.491993520897367,6,1335.2012081784387,59.3634,94.0,9.450017172982283
20240516_AABr_10uMDFHBI_20-40_Sample2_5_6_dont count the float cell.tif,2.752259705312733,11.973218604695367,23,714.2103920943576,59.650659999999995,83.0,335.0322966100641
20240516_AABr_10uMDFHBI_20-40_Sample3_3_1.tif,3.0851402231093794,55.25953871876372,5,3063.3302119270575,55.43532000000001,87.0,1691.15160811297
20240516_AABr_10uMDFHBI_20-40_Sample3_3_2.tif,9.127342467590823,9.839318124845274,63,541.6308484092327,55.0476,96.0,7.8004705069686935
20240516_AABr_10uMDFHBI_20-40_Sample3_3_3.tif,5.98628200593908,5.399987106726127,71,294.3268372508182,54.50509999999999,87.0,-9.793973932923333
20240516_AABr_10uMDFHBI_20-40_Sample3_3_4.tif,23.882205110137967,34.98825477710339,24,1983.6311139840552,56.6942,92.0,46.503451485101436
20240516_AABr_10uMDFHBI_20-40_Sample3_4_1.tif,11.023212177489178,36.016589201244216,24,1801.2364475201846,50.01129999999999,96.0,226.73406463857003
20240516_AABr_10uMDFHBI_20-40_Sample3_4_2.tif,12.195762888966632,16.70125263809023,12,980.5118369793228,58.70888,80.0,36.94307432952525
20240516_AABr_10uMDFHBI_20-40_Sample3_4_3.tif,21.231294189214637,29.942853461179634,9,1642.366111202772,54.850019999999994,92.0,41.03169215370024
