filename,ref_pc,ref_cond,ref_dil,pipe_dil,n_cond_vox,pc_full,cond_full,cond_top10,pc_top10,cond_top20,pc_top20,cond_top25,pc_top25,cond_top30,pc_top30,cond_top40,pc_top40,cond_top50,pc_top50,cond_top75,pc_top75
20240516_JABr_40uMDFHBI_20-40_Sample1_1_1.tif,4.780462776467427,390.4247408293461,81.67090909090909,56.63334,2829,9.72114353748873,550.540827147402,1016.7950530035336,17.954001176754428,954.8851590106007,16.860830722867497,927.4505649717514,16.376405929294503,901.0058892815076,15.909460563009487,850.452296819788,15.016813361524996,797.4932862190813,14.08169262521125,666.3430725730443,11.765915140675869
20240516_JABr_40uMDFHBI_20-40_Sample1_1_2.tif,9.03781903143521,827.8724394785847,91.60090909090908,64.67328,10066,10.061583040021201,650.7155771905424,1715.6583912611718,26.528086889379534,1471.619165839126,22.754670334319304,1378.0556217719507,21.307959357743268,1293.5175496688742,20.0008032632468,1145.2468338713682,17.708191603570565,1023.5857341545798,15.827026774497593,806.355761589404,12.468143900995958
20240516_JABr_40uMDFHBI_20-40_Sample1_1_3.tif,19.77431091029348,1516.5458336492532,76.69272727272727,47.885340000000014,34899,15.72947038833902,753.2110375655462,2822.739255014327,58.94787956009764,2293.4136103151864,47.893856665008244,2067.052378223496,43.16670568118542,1864.3795606494748,38.93424502466672,1534.6320200573066,32.04805520974282,1302.3851002865329,27.197992126327858,953.0926456542502,19.9036416083555
20240516_JABr_40uMDFHBI_20-40_Sample1_1_4.tif,10.583892531088944,793.3204755280132,74.95545454545454,54.25073999999999,10626,11.783873033066815,639.2838321099191,1687.1175917215428,31.098517581908432,1492.6232361241769,27.513417072728906,1406.0828001505458,25.91822342240025,1324.7741530740277,24.4194669616309,1179.707362973418,21.745461222711764,1052.4325239977413,19.399413242985098,802.1109159347553,14.7852529925814
20240516_JABr_40uMDFHBI_20-40_Sample1_2_1.tif,8.02311193846827,619.04872969596,77.15818181818182,55.47070000000001,21853,9.520054040870125,528.0840616848946,1050.5407136322049,18.938659754288384,993.4991992679021,17.910341842953162,967.882869692533,17.448542558369244,942.4382245271507,16.9898383205395,889.9310226492794,16.043262887421275,833.6111467008328,15.027954338070959,663.034106162294,11.952870725667676
20240516_JABr_40uMDFHBI_20-40_Sample1_2_2.tif,4.599440759919959,339.35928319623974,73.78272727272727,63.13026,18818,2.7471191646361803,173.42634711446487,463.38522848034006,7.340144464482485,373.5629649309245,5.917336075139316,341.75919234856536,5.413555913575603,316.2587672688629,5.009622442056518,278.0107598299681,4.403763897534528,250.35221596343925,3.9656452541687495,204.45536346889614,3.2386269828271916
20240516_JABr_40uMDFHBI_20-40_Sample1_2_3.tif,2.5450496828063462,162.86929761042722,63.99454545454545,53.2223,2646,2.9194495276247796,155.3798185941043,349.3320754716981,6.563641095399825,300.2320754716981,5.6410954707274605,282.03021148036254,5.299098526000615,266.1448362720403,5.000626359102112,240.2596789423985,4.514267120030485,219.75283446712018,4.128961628248313,182.8861460957179,3.436269122073227
20240516_JABr_40uMDFHBI_20-40_Sample1_4_1.tif,6.1293038949056,540.6046035306739,88.2,54.80591999999999,30320,5.004920534247623,274.2992744063325,787.5656332453826,14.370083254607946,682.6693601583113,12.456124450758447,634.6924802110818,11.580728509093213,588.8014511873351,10.743391429015976,507.9258740105541,9.267719144401811,444.7717678100264,8.11539643545855,339.7555848724714,6.199249732008356
20240516_JABr_40uMDFHBI_20-40_Sample1_4_2.tif,5.049124062902577,368.8293325694643,73.04818181818182,58.257799999999996,4,2.02118857904006,117.75,152.0,2.609092688017742,152.0,2.609092688017742,152.0,2.609092688017742,143.5,2.4631894784904342,143.5,2.4631894784904342,143.5,2.4631894784904342,127.0,2.179965601172719
20240516_JABr_40uMDFHBI_20-40_Sample1_4_3.tif,13.963474229377768,1338.2847582785278,95.84181818181818,58.09877999999999,27163,10.198396816391949,592.5144129882561,2009.30990062569,34.58437338315349,1696.390392048592,29.19838234208347,1548.4818141658077,26.65257022894126,1415.472818750767,24.36321070340491,1194.3614025400332,20.557426550781848,1027.3985421881903,17.68365088196672,757.6070289108134,13.039981715809066
20240516_JABr_40uMDFHBI_20-40_Sample1_4_4.tif,9.321639529541017,584.3142625826474,62.68363636363637,50.09878,25353,5.326293530380369,266.8408077939494,935.3186119873817,18.66948879767894,737.73180832183,14.725544380957581,665.2322132828522,13.278411436024035,604.1618459111228,12.059412343197236,508.34549398540724,10.146863735711873,439.72935237043464,8.77724671879105,332.2401788062056,6.631701985681201
20240516_JABr_40uMDFHBI_20-40_Sample2_5_1.tif,6.324415503843559,658.3026603264362,104.08909090909091,70.1142,8168,7.240471862511271,507.65989226248774,1107.6450428396572,15.797727747584045,994.4553243574052,14.18336548598437,946.1728697355534,13.494739578224573,900.9355365157079,12.849544550400745,820.6891064871481,11.70503416550639,751.1953966699315,10.713883873308568,611.9740450538687,8.72824684662834
20240516_JABr_40uMDFHBI_20-40_Sample2_5_2.tif,6.8732146278526525,483.1932367149759,70.30090909090909,63.32764,4376,7.1412726758078,452.23994515539306,835.8493150684932,13.19880726754531,784.6529680365297,12.390371219210596,763.1270566727605,12.050457851781,742.3602437166794,11.722531326237318,700.296402055968,11.058305694890382,657.7678244972577,10.386741468610825,547.4872029250457,8.645311951069797
