filename,ref_pc,pipeline_pc,ref_cond_density,ref_dilute_density,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_1_1.tif,3.552163284549726,2.6945047097666888,830.0824332909784,233.6836363636364,602.2337662337662,223.50444,95.0,-24.144683283942975
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_2_1.tif,2.874010803531902,16.525820428995573,1120.6003269309358,389.9081818181818,918.3676046176046,55.57167999999999,88.0,475.00898774238493
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_3_1.tif,2.0802368433697183,3.4223917460814053,1101.126094927684,529.3272727272728,993.7326490713588,290.36204,94.0,64.5193313919759
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_1.tif,3.2593886063111634,7.439096482679184,617.0111524163568,189.30272727272728,492.9557455368368,66.26554,76.0,128.2359479405076
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_2.tif,2.5846283331463624,12.881947915698225,742.622461665976,287.32272727272726,699.9416705552964,54.335080000000005,87.0,398.40620217981433
20240614_40uMDFHBI_Tornado_Broccoli_Sample1_4_3.tif,2.7033406169817304,5.532770870939223,475.1022831050228,175.74636363636364,370.5949519230769,66.9818,80.0,104.66421568128328
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_1_1.tif,3.100448110181104,2.7638081801253183,463.73120525059664,149.5690909090909,393.2821653689284,142.2972,84.0,-10.857783071754804
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_1_2.tif,1.938592381042116,1.6273520044711371,162.83823529411765,83.99818181818182,91.72,56.3615,87.0,-16.054967491601683
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_2.tif,2.206206036484607,14.394163427684093,810.4036577400392,367.3290909090909,778.4631313131313,54.08186,89.0,552.4396719818569
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_3.tif,4.686320330033836,13.90056489644971,628.4994606256743,134.11363636363637,681.6525652565257,49.03776,96.0,196.6200327229732
20240614_40uMDFHBI_Tornado_Broccoli_Sample2_2_4.tif,2.4096547521721927,3.330794097660738,529.863364645602,219.8918181818182,513.3555093555094,154.12406,91.0,38.22702586991687
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_1.tif,2.729504713767909,17.887133472487516,1142.3076481835565,418.5036363636364,1202.018231292517,67.20016000000001,84.0,555.3252457217945
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_2.tif,2.339511959968276,2.189149056713738,377.0846645367412,161.1809090909091,336.41818181818184,153.67532,85.0,-6.427105559938092
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_3.tif,2.120803616758939,3.5295281972349457,209.86315789473684,98.95454545454544,187.03937007874015,52.99273999999998,84.0,66.42409364752272
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_1_4.tif,4.345316418682592,2.9145055358357617,722.1915887850467,166.2,596.810293386375,204.7724,80.0,-32.92765692954121
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_1.tif,2.337961754108283,3.4822721267452015,616.0104138120033,263.4818181818182,719.6709425543781,206.66706,84.0,48.94478580011535
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_2.tif,2.844100053460235,3.1088333456258437,558.4416310424202,196.35090909090908,581.5471947194719,187.06284,71.0,9.308156787364938
20240614_40uMDFHBI_Tornado_Broccoli_Sample3_2_3.tif,3.55404049509177,8.397815281335523,547.5225548902196,154.05636363636364,493.18504832291075,58.72778,88.0,136.2892401741945
