filename,ref_pc,pipeline_pc,ref_cond_density,ref_dilute_density,pipeline_cond_density,pipeline_dilute_density,pipeline_background,error_pct
20240516_JABr_40uMDFHBI_20-40_Sample1_1_1.tif,4.780462776467427,8.729535476092893,390.4247408293461,81.67090909090909,494.38275065963063,56.63334,89.0,82.60858591066521
20240516_JABr_40uMDFHBI_20-40_Sample1_1_2.tif,9.03781903143521,16.374089254207274,827.8724394785847,91.60090909090908,1058.9660590823382,64.67328,93.0,81.17301527343217
20240516_JABr_40uMDFHBI_20-40_Sample1_1_3.tif,19.77431091029348,43.71825346027074,1516.5458336492532,76.69272727272727,2093.4634311512414,47.885340000000014,99.0,121.08610337219532
20240516_JABr_40uMDFHBI_20-40_Sample1_1_4.tif,10.583892531088944,15.644612171259201,793.3204755280132,74.95545454545454,848.7317873038182,54.25073999999999,92.0,47.81529692695751
20240516_JABr_40uMDFHBI_20-40_Sample1_2_1.tif,8.02311193846827,10.008043233786436,619.04872969596,77.15818181818182,555.1531638083974,55.47070000000001,92.0,24.740167039189014
20240516_JABr_40uMDFHBI_20-40_Sample1_2_2.tif,4.599440759919959,5.166535775302925,339.35928319623974,73.78272727272727,326.1647467941752,63.13026,87.0,12.329651472515845
20240516_JABr_40uMDFHBI_20-40_Sample1_2_3.tif,2.5450496828063462,3.075751478905116,162.86929761042722,63.99454545454545,163.69856793573175,53.2223,95.0,20.852315759650768
20240516_JABr_40uMDFHBI_20-40_Sample1_4_1.tif,6.1293038949056,6.8905818747276095,540.6046035306739,88.2,377.64467897977136,54.80591999999999,92.0,12.420300785783354
20240516_JABr_40uMDFHBI_20-40_Sample1_4_2.tif,5.049124062902577,6.689406429384662,368.8293325694643,73.04818181818182,382.44540649949397,57.17179999999999,87.0,32.48647381302688
20240516_JABr_40uMDFHBI_20-40_Sample1_4_3.tif,13.963474229377768,13.85611465285959,1338.2847582785278,95.84181818181818,805.0233568712656,58.09877999999999,88.0,-0.7688600612897893
20240516_JABr_40uMDFHBI_20-40_Sample1_4_4.tif,9.321639529541017,11.097453467875681,584.3142625826474,62.68363636363637,553.4115826702034,49.86833999999999,91.0,19.05044635878666
20240516_JABr_40uMDFHBI_20-40_Sample2_5_1.tif,6.324415503843559,10.029318336177303,658.3026603264362,104.08909090909091,703.1976316864026,70.1142,76.0,58.580952343851386
20240516_JABr_40uMDFHBI_20-40_Sample2_5_2.tif,6.8732146278526525,7.607216356452402,483.1932367149759,70.30090909090909,481.7470588235294,63.32764,84.0,10.679162056504385
20240516_JABr_40uMDFHBI_20-40_Sample2_5_3.tif,4.55825275244962,5.382579485239706,331.24408365437534,72.66909090909091,384.35998944312485,71.40814,79.0,18.084269950741316
20240516_JABr_40uMDFHBI_20-40_Sample2_5_4.tif,6.019577067052444,6.469538288247008,415.29609419873634,68.99090909090908,388.88148808197815,60.10962000000001,86.0,7.474964041201185
20240516_JABr_40uMDFHBI_20-40_Sample2_5_5.tif,6.727580527127384,11.151901255480718,497.0030694326842,73.87545454545455,652.7145354185833,58.529439999999994,84.0,65.7639207812274
20240516_JABr_40uMDFHBI_20-40_Sample2_5_6.tif,12.150934499553983,14.082119671432908,894.087853085363,73.58181818181818,901.4868873767108,64.01641999999998,82.0,15.893305753148546
20240516_JABr_40uMDFHBI_20-40_Sample3_3_1.tif,8.18488010140486,12.54075759984878,534.2717690192484,65.27545454545455,693.2024154589373,55.275960000000005,88.0,53.21858652146015
20240516_JABr_40uMDFHBI_20-40_Sample3_3_10.tif,3.6096973482864656,3.5593053877296956,205.4770992366412,56.92363636363636,190.0340909090909,53.39078000000001,95.0,-1.3960162222655923
20240516_JABr_40uMDFHBI_20-40_Sample3_3_11.tif,16.95129741069744,40.254177213001796,1361.651490190205,80.32727272727273,2253.6663400293974,55.9859,84.0,137.46959443705254
20240516_JABr_40uMDFHBI_20-40_Sample3_3_14.tif,12.968998635548576,13.756747455563074,907.6412645082468,69.98545454545454,814.1897965381112,59.18476,85.0,6.0740913169290085
