label,area,centroid-0,centroid-1,mean_intensity,z
1,5.0,43.6,174.8,201.6,4
2,240.0,157.025,141.32083333333333,210.92083333333332,4
1,63.0,67.4920634920635,177.6031746031746,220.65079365079364,5
2,879.0,154.91240045506257,142.33105802047783,225.8122866894198,5
3,41.0,152.29268292682926,1.9268292682926829,210.3658536585366,5
1,1005.0,48.72835820895522,170.0955223880597,232.85572139303483,6
2,2061.0,128.35856380397865,117.29257641921397,245.51431344007764,6
3,171.0,142.94152046783626,3.1228070175438596,238.66666666666666,6
1,2679.0,50.02426278462113,179.00634565136244,260.67226577081,7
2,3721.0,117.46089760816984,105.7336737436173,272.12308519215264,7
3,1118.0,143.5062611806798,10.577817531305904,252.81037567084078,7
4,6.0,149.16666666666666,245.83333333333334,234.16666666666666,7
1,3021.0,48.00695134061569,176.61072492552134,299.3492221118835,8
2,4752.0,117.85416666666667,106.63425925925925,309.9964225589226,8
3,1237.0,140.73565076798707,10.044462409054164,294.767987065481,8
4,446.0,148.21748878923768,248.04484304932734,275.3385650224215,8
1,3701.0,48.45149959470413,176.8249121858957,329.045122939746,9
2,7111.0,107.53424272254254,99.91027984812263,335.1362677541837,9
3,1668.0,142.64028776978418,11.87410071942446,320.28237410071944,9
4,571.0,150.0105078809107,247.26970227670753,303.7197898423818,9
1,4711.0,47.89004457652303,176.0919125451072,348.6476331988962,10
2,8083.0,105.84399356674503,97.919831745639,367.45243102808365,10
3,1875.0,142.2592,12.323733333333333,349.312,10
4,1146.0,150.4764397905759,244.70593368237348,316.5471204188482,10
1,5493.0,48.438376115055526,177.6338976879665,364.33879482978335,11
2,9399.0,104.04298329609533,96.83679114799446,386.5506968826471,11
3,2192.0,142.1432481751825,13.720346715328468,359.9470802919708,11
4,1631.0,151.71060698957695,242.75781729000613,325.61986511342735,11
1,6494.0,47.62642439174623,176.87419156144134,374.9168463196797,12
2,11274.0,104.56084796877772,98.5193365265212,398.3375909171545,12
3,2504.0,141.6441693290735,15.206070287539935,369.8937699680511,12
4,2013.0,152.3204172876304,240.69398907103826,339.20119225037257,12
1,6732.0,47.52346999405823,175.99806892453952,389.00935828877004,13
2,12367.0,103.95851863831163,97.52365165359424,408.895285841352,13
3,2605.0,142.41804222648753,15.70940499040307,377.03378119001917,13
4,2264.0,153.36219081272085,239.511925795053,351.7906360424028,13
1,7447.0,48.315026185040956,176.47280784208405,394.35275950047,14
2,12980.0,103.32303543913713,97.42249614791987,416.3968412942989,14
3,2722.0,141.4922850844967,15.883541513592947,380.24761204996327,14
4,2494.0,152.64755412991178,238.75621491579793,363.90697674418607,14
1,7911.0,48.56415118189862,176.43673366198962,399.0610542282897,15
